"","Quarter","Trips"
"1",1998 Q1,11.8060376221
"2",1998 Q2,9.2756620744
"3",1998 Q3,8.6424885898
"4",1998 Q4,9.2995237806
"5",1999 Q1,11.1720270564
"6",1999 Q2,9.6076131866
"7",1999 Q3,8.9138865198
"8",1999 Q4,9.0256883618
"9",2000 Q1,11.070865789
"10",2000 Q2,9.1962623222
"11",2000 Q3,9.3475058064
"12",2000 Q4,8.9840142166
"13",2001 Q1,10.6723143049
"14",2001 Q2,9.5334921444
"15",2001 Q3,8.8071590872
"16",2001 Q4,8.9769448476
"17",2002 Q1,10.8426194436
"18",2002 Q2,9.2327454264
"19",2002 Q3,8.8362141348
"20",2002 Q4,9.2475412624
"21",2003 Q1,10.5015589713
"22",2003 Q2,9.093529881
"23",2003 Q3,8.8405427455
"24",2003 Q4,8.841260634
"25",2004 Q1,10.7014595528
"26",2004 Q2,9.2112662672
"27",2004 Q3,8.924440703
"28",2004 Q4,8.3785842486
"29",2005 Q1,10.9289846578
"30",2005 Q2,8.0662598025
"31",2005 Q3,8.1004925165
"32",2005 Q4,7.7370418716
"33",2006 Q1,11.219247032
"34",2006 Q2,9.274046516
"35",2006 Q3,7.796211345
"36",2006 Q4,8.928402894
"37",2007 Q1,10.9103053791
"38",2007 Q2,9.3564126837
"39",2007 Q3,8.6174603827
"40",2007 Q4,8.7163509357
"41",2008 Q1,11.9514914676
"42",2008 Q2,8.4994602312
"43",2008 Q3,8.4822356138
"44",2008 Q4,8.3911066982
"45",2009 Q1,10.1319747752
"46",2009 Q2,8.4004153108
"47",2009 Q3,8.6903039877
"48",2009 Q4,8.2623477397
"49",2010 Q1,10.1570168073
"50",2010 Q2,8.7339279789
"51",2010 Q3,8.6065129202
"52",2010 Q4,8.5046833331
"53",2011 Q1,9.8464424493
"54",2011 Q2,9.0092215279
"55",2011 Q3,8.4494986274
"56",2011 Q4,8.4886335158
"57",2012 Q1,10.2679203721
"58",2012 Q2,8.6029121388
"59",2012 Q3,8.3503765222
"60",2012 Q4,9.2374914174
"61",2013 Q1,10.7866854306
"62",2013 Q2,9.0333038231
"63",2013 Q3,8.7810029437
"64",2013 Q4,8.8768492855
"65",2014 Q1,11.3552935855
"66",2014 Q2,10.1989320946
"67",2014 Q3,8.9680363277
"68",2014 Q4,9.4143273515
"69",2015 Q1,11.6309335134
"70",2015 Q2,9.7070475323
"71",2015 Q3,9.5459545705
"72",2015 Q4,10.0461594153
"73",2016 Q1,12.5931781345
"74",2016 Q2,9.980198792
"75",2016 Q3,9.9396175664
"76",2016 Q4,10.0849646705
"77",2017 Q1,12.4064188631
"78",2017 Q2,10.4711972619
"79",2017 Q3,10.4991653699
"80",2017 Q4,11.2108177602
